Food name,Mfg Date,Ingredient 1,Ingredient 2,Ingredient 3,Exp date,Preservatives
thali,28-10-2024,honey,figs,garam flour,20-05-2025,3.57
puri,31-05-2024,ketchup,pomegranate,cumin,31-05-2025,2.08
pulao,10-06-2024,potatoes,turmeric powder,turmeric,13-10-2025,0.7
korma,09-07-2024,rosemary,saffron,rice flour,31-10-2025,1.15
tandoori chicken,06-03-2024,flour,coriander powder,sugar,06-05-2025,0.87
thali,11-03-2024,rosemary,coconut oil,amchur,04-12-2025,3.56
chicken curry,13-10-2024,ketchup,cashews,lentils,09-12-2025,2.47
rabri,09-11-2024,butter,tomato,tomato,02-06-2025,1.98
palak paneer,23-07-2024,eggs,paprika,cinnamon,20-06-2025,0.02
korma,30-08-2024,lemon juice,tamarind,yogurt,01-06-2025,3.84
korma,05-09-2024,cumin,figs,green gram,10-06-2025,1.42
paratha,07-10-2024,pasta,paprika,cardamom,07-07-2025,3.81
butter chicken,19-09-2024,cinnamon,coconut milk,fennel seeds,07-10-2025,4.33
rabri,28-11-2024,brown sugar,onion,red chili powder,20-08-2025,0.68
pav bhaji,03-07-2024,chicken,fennel seeds,cardamom,22-09-2025,1.36
roti,28-07-2024,parsley,tamarind,coriander,06-12-2025,0.29
kulfi,26-02-2024,flour,sesame seeds,clarified butter,20-05-2024,2.17
papad,15-04-2024,ketchup,cumin seeds,sesame oil,13-06-2025,1.97
bhaji,19-09-2024,lemon juice,cloves,paneer,12-10-2025,2.42
palak paneer,05-09-2024,eggs,chickpeas,garlic,05-08-2025,4.84
masala dosa,30-09-2024,chicken,sesame seeds,cream,25-04-2025,2.36
dosa,17-05-2024,coriander,basmati rice,cashews,07-08-2025,4.88
kheema,11-01-2024,lemon juice,yogurt,cloves,29-07-2025,1.39
korma,23-05-2024,cayenne pepper,coconut oil,paneer,01-08-2025,4.67
chaat,04-01-2024,soy sauce,garlic,onion,07-03-2025,2.55
pav bhaji,10-11-2024,thyme,onion,cinnamon,29-08-2025,0.35
vada,20-11-2024,lime juice,red chili powder,semolina,10-06-2025,0.1
dosa,30-10-2024,parsley,pomegranate,amchur,05-01-2025,0.36
poha,18-06-2024,onions,tomato,bay leaves,07-12-2025,1.55
papad,28-04-2024,honey,paprika,bay leaves,23-04-2025,1.55
vada,28-05-2024,broccoli,asafoetida,ginger,14-05-2025,3.21
pulao,14-01-2024,lettuce,basmati rice,olive oil,23-04-2025,1.2
biryani,14-02-2024,nutmeg,mango,curry leaves,01-09-2025,2.91
pakora,01-05-2024,chili powder,curry powder,cloves,23-05-2025,2.27
papad,01-02-2024,cayenne pepper,apricots,lentils,04-03-2025,0.18
thali,03-02-2024,milk,red chili powder,curry leaves,08-02-2025,1.21
thali,19-09-2024,rosemary,pistachios,asafoetida,05-10-2025,1.92
poha,30-05-2024,nutmeg,lentils,chickpeas,19-02-2025,4.6
kheema,11-07-2024,cinnamon,tomato,cumin,21-03-2025,1.47
kheer,19-03-2024,paprika,black pepper,mint,25-07-2025,3.53
chaat,22-04-2024,basil,bay leaf,sugar,20-10-2025,0.44
momo,08-03-2024,eggs,turmeric powder,black pepper,17-05-2025,4.82
biryani,06-08-2024,milk,pineapple,gram flour,07-09-2025,3.35
dal makhani,07-04-2024,beef,almonds,sesame oil,17-01-2025,4.83
kathi roll,02-03-2024,spinach,bay leaf,coriander,11-01-2025,0.65
roti,02-08-2024,soy sauce,fenugreek seeds,cinnamon,07-12-2025,1
idli,31-05-2024,onions,ginger,mint,16-02-2025,3.61
gulab jamun,16-10-2024,maple syrup,ginger,nutmeg,17-01-2025,1.19
paneer tikka,27-09-2024,parsley,figs,sesame oil,26-03-2025,3.52
tandoori chicken,14-11-2024,cinnamon,basmati rice,milk,29-10-2025,4.08
poha,01-09-2024,cinnamon,bay leaf,turmeric,01-11-2025,4.18
kheema,08-06-2024,chicken,paprika,cinnamon,01-07-2025,1.14
biriyani,16-01-2024,vanilla extract,onion,mustard seeds,11-07-2025,2.74
kulfi,11-05-2024,broccoli,cilantro,cinnamon,11-07-2025,0.7
dosa,19-06-2024,pasta,guava,beans,11-09-2025,1.12
kachori,23-02-2024,potatoes,coriander powder,coriander,20-11-2025,0.17
kathi roll,22-12-2024,spinach,black pepper,cumin,03-01-2025,4.78
naan,05-06-2024,beef,yogurt,cumin,14-08-2025,2.28
kheer,16-08-2024,mayonnaise,mint leaves,mustard oil,07-06-2025,3.46
poha,21-12-2024,beef,bay leaf,mint,26-01-2025,4.23
masala dosa,15-06-2024,beef,tamarind,mustard seeds,02-01-2025,3.61
butter chicken,19-01-2024,eggs,ghee,jaggery,03-06-2025,4.24
kathi roll,22-10-2024,brown sugar,almonds,asafoetida,26-06-2025,2.44
kheema,11-08-2024,broccoli,banana,coconut,07-11-2025,4.95
naan,29-03-2024,ketchup,bay leaf,lentils,02-04-2025,1.94
palak paneer,14-08-2024,honey,fennel seeds,dates,06-05-2025,1.13
idli,05-11-2024,beef,coconut,clarified butter,29-08-2025,3.03
lassi,26-11-2024,onions,coriander powder,black gram,07-12-2025,1.2
palak paneer,23-01-2024,curry powder,tamarind,cinnamon,24-01-2025,0.59
chaat,04-02-2024,honey,tamarind,gram flour,22-10-2025,3.13
pulao,27-04-2024,cumin,tamarind,paneer,22-05-2025,0.16
uttapam,27-12-2024,brown sugar,green chili,ghee,23-09-2025,1.69
butter chicken,16-09-2024,ketchup,green chili,tomato,26-07-2025,1.06
chaat,25-04-2024,cumin,garlic,cashews,30-07-2025,3.61
tandoori chicken,10-06-2024,butter,coconut oil,semolina,07-03-2025,2.56
uttapam,01-07-2024,parsley,coriander powder,black gram,29-07-2025,4.28
kheer,22-08-2024,cayenne pepper,pomegranate,green chili,14-03-2025,1.02
papad,20-04-2024,salt,asafoetida,tamarind,01-01-2025,4.73
jalebi,04-01-2024,oregano,mint leaves,garam flour,01-01-2025,0.84
naan,21-11-2024,thyme,ginger,sesame oil,08-04-2025,1.19
biryani,08-06-2024,salt,cashew nuts,rice flour,28-07-2025,1.44
upma,27-09-2024,ginger,coconut oil,cumin,14-09-2025,2.2
samosa,30-03-2024,basil,dates,ghee,21-02-2025,0.18
paratha,12-09-2024,honey,black pepper,turmeric,19-01-2025,0.68
rabri,02-10-2024,parsley,cinnamon,black pepper,14-08-2025,2.8
idli,16-05-2024,onions,lentils,semolina,25-07-2024,4.82
papad,22-07-2024,mustard,sesame seeds,cloves,08-05-2025,3.35
upma,18-03-2024,butter,curry powder,ginger,05-09-2025,2.75
chicken curry,29-07-2024,pasta,coriander powder,garlic,05-12-2025,2.21
chaat,07-03-2024,cayenne pepper,ghee,olive oil,01-02-2025,3.95
roti,23-01-2024,sugar,ghee,black pepper,30-09-2025,3.46
upma,29-09-2024,lettuce,cardamom,bay leaves,22-11-2025,4.17
pulao,17-04-2024,olive oil,cashew nuts,tomato,20-02-2025,3.43
tandoori chicken,06-02-2024,lime juice,fenugreek seeds,ginger,06-09-2025,4.33
kathi roll,11-07-2024,rice,mint leaves,black salt,04-01-2025,2.03
naan,23-09-2024,mayonnaise,lentils,garam flour,14-09-2025,0.42
kheer,01-01-2024,chili powder,garlic,nutmeg,23-12-2025,1.96
kulfi,24-10-2024,turmeric,green chili,onion,05-03-2025,0.95
palak paneer,12-07-2024,carrots,guava,paneer,12-09-2025,3.91
papad,16-06-2024,cumin,turmeric powder,fenugreek,05-11-2025,0.46
puri,11-02-2024,cinnamon,black pepper,coconut,23-06-2025,2.45
biryani,11-10-2024,butter,bay leaf,cumin,16-07-2025,4.16
papad,28-06-2024,rice,saffron,gram flour,29-12-2025,2.07
butter chicken,29-12-2024,basil,dates,amchur,08-09-2025,3.63
biriyani,03-07-2024,coriander,ginger,clarified butter,07-12-2025,3.27
vada,15-05-2024,carrots,figs,coconut oil,21-08-2025,4.42
thali,18-06-2024,spinach,cumin seeds,mint,31-08-2025,4.91
kachori,09-03-2024,chicken,black pepper,raisins,01-08-2025,3.44
tandoori chicken,21-11-2024,thyme,green chili,black salt,23-01-2025,1.61
pulao,30-08-2024,pasta,guava,bay leaves,22-10-2025,1.54
naan,24-02-2024,mayonnaise,almonds,tomato,19-11-2025,1.95
samosa,04-02-2024,cayenne pepper,garlic,saffron,24-05-2025,0.21
pulao,09-02-2024,onions,garlic,fennel seeds,13-09-2025,3.82
biryani,29-07-2024,flour,pineapple,mustard seeds,13-12-2025,0.57
thali,13-03-2024,garlic,red chili powder,paneer,26-09-2025,2.13
palak paneer,14-06-2024,thyme,ginger,olive oil,04-11-2025,2.69
dosa,12-11-2024,ketchup,coconut,paneer,22-02-2025,0.01
roti,09-06-2024,garlic,pineapple,red chili powder,20-03-2025,4.48
gulab jamun,02-06-2024,ginger,lentils,coconut oil,14-09-2025,2.55
upma,09-08-2024,basil,lentils,fenugreek,08-10-2024,0.83
butter chicken,08-10-2024,turmeric,saffron,mustard oil,29-04-2025,0.35
palak paneer,22-02-2024,oregano,almonds,lentils,23-06-2025,0.17
samosa,25-02-2024,olive oil,cashews,garlic,27-01-2025,3.65
samosa,08-04-2024,salt,fennel seeds,fenugreek,16-12-2025,3.71
biriyani,09-04-2024,nutmeg,yogurt,turmeric,16-01-2025,3.2
paneer tikka,19-04-2024,paprika,coconut,raisins,17-08-2025,1.51
biriyani,24-07-2024,honey,bay leaf,asafoetida,24-01-2025,3.06
upma,08-01-2024,ginger,tomato,saffron,07-03-2025,3.92
kachori,11-07-2024,eggs,coriander powder,tamarind,24-02-2025,1.63
thali,10-03-2024,basil,green chili,cloves,10-11-2024,4.25
jalebi,13-02-2024,chicken,fenugreek seeds,cumin,18-06-2025,0.98
bhaji,04-10-2024,tomatoes,figs,olive oil,01-07-2025,2.19
poha,06-06-2024,tomatoes,basmati rice,tomato,16-08-2025,1.11
kulfi,14-02-2024,vanilla extract,saffron,pistachios,21-01-2025,4.98
dosa,02-04-2024,milk,paprika,garlic,11-09-2025,1.49
pulao,06-02-2024,honey,pistachios,amchur,06-11-2025,3.88
gulab jamun,16-03-2024,tomatoes,asafoetida,cilantro,23-09-2025,3.84
naan,15-07-2024,eggs,poppy seeds,beans,09-10-2025,3.63
gulab jamun,02-07-2024,honey,cilantro,semolina,09-05-2025,2.06
lassi,08-06-2024,basil,basmati rice,rice flour,21-11-2025,1.66
masala dosa,20-06-2024,honey,black pepper,turmeric,04-01-2025,4.95
biriyani,14-06-2024,vanilla extract,garlic,cashews,13-08-2025,0.76
tandoori chicken,26-09-2024,pasta,chickpeas,cream,31-10-2025,2.87
uttapam,24-03-2024,brown sugar,cashews,olive oil,26-03-2025,4.47
dosa,20-02-2024,mayonnaise,fenugreek seeds,mustard oil,08-11-2025,1.72
papad,25-06-2024,lime juice,sesame seeds,curry leaves,23-08-2025,3.74
thali,20-02-2024,cheese,pistachios,fenugreek,23-09-2025,4.81
paneer tikka,13-03-2024,cinnamon,dates,bay leaves,18-08-2025,0.41
uttapam,22-11-2024,maple syrup,cashew nuts,cloves,08-03-2025,3.12
samosa,12-03-2024,butter,curry powder,olive oil,05-07-2025,2.89
poha,08-06-2024,eggs,basmati rice,olive oil,14-06-2025,3.55
tandoori chicken,24-05-2024,curry powder,bay leaf,onion,16-12-2025,4.21
samosa,24-04-2024,tomatoes,coconut oil,mustard seeds,24-09-2025,4.24
kheer,04-04-2024,honey,cashews,coconut oil,21-11-2025,4.55
chicken curry,31-05-2024,ketchup,onion,bay leaves,25-08-2025,0.37
tandoori chicken,12-05-2024,sugar,banana,yogurt,13-05-2025,1.46
kachori,08-10-2024,sugar,turmeric powder,nutmeg,11-04-2025,1.45
papad,16-09-2024,honey,asafoetida,yogurt,01-03-2025,4.61
masala dosa,02-02-2024,flour,red chili powder,poppy seeds,12-07-2025,4.37
paratha,19-08-2024,cumin,almonds,raisins,28-10-2025,3.33
paratha,13-11-2024,rosemary,asafoetida,garam flour,18-07-2025,1.82
thali,24-11-2024,ketchup,curry leaves,mint,24-07-2025,2.02
palak paneer,25-08-2024,tomatoes,bay leaf,black gram,16-07-2025,0.71
chaat,30-07-2024,beef,green chili,red chili powder,11-01-2025,1.77
pakora,01-02-2024,eggs,onion,green gram,01-05-2025,1.02
masala dosa,07-02-2024,eggs,yogurt,cloves,02-04-2025,1.64
kulfi,13-05-2024,lime juice,mustard seeds,coconut oil,12-11-2025,1.25
rabri,15-05-2024,rice,red chili powder,cashews,17-02-2025,1.57
bhaji,17-03-2024,olive oil,ginger,chickpeas,29-01-2025,0.9
pulao,10-09-2024,ketchup,saffron,garam flour,09-04-2025,1.63
korma,02-08-2024,broccoli,saffron,milk,27-12-2025,1.58
upma,14-03-2024,butter,cashews,beans,03-09-2025,0.11
masala dosa,06-09-2024,broccoli,pineapple,mint,18-05-2025,3.77
poha,26-03-2024,pepper,green chili,paneer,09-10-2025,4.76
rasgulla,06-09-2024,salt,red chili powder,garam masala,02-06-2025,0.36
rasgulla,08-10-2024,garlic,basmati rice,red chili powder,03-08-2025,1.17
rabri,07-12-2024,curry powder,bay leaf,cream,06-05-2025,3.79
korma,03-02-2024,cheese,paprika,paneer,24-07-2025,3.23
pav bhaji,01-10-2024,nutmeg,mint leaves,bay leaves,04-11-2025,4.1
korma,30-11-2024,mayonnaise,guava,onion,14-01-2025,2.56
paratha,18-01-2024,rosemary,paprika,green chili,26-10-2025,0.98
paneer tikka,04-04-2024,lettuce,guava,black salt,12-10-2025,2.33
paneer tikka,05-08-2024,pepper,saffron,black pepper,13-09-2025,2.54
thali,03-10-2024,oregano,cashew nuts,coconut oil,02-11-2025,0.88
roti,15-01-2024,pepper,cinnamon,cilantro,07-01-2025,1.68
uttapam,12-09-2024,cinnamon,black pepper,turmeric,02-01-2025,3.87
biriyani,15-11-2024,flour,almonds,sugar,14-09-2025,2.62
dosa,28-07-2024,milk,poppy seeds,cilantro,24-08-2025,3.75
idli,30-04-2024,beef,bay leaf,ginger,06-08-2025,2.63
butter chicken,31-10-2024,cumin,cashews,fennel seeds,03-09-2025,3.43
thali,12-04-2024,lettuce,mint leaves,honey,22-07-2025,2.76
bhaji,02-06-2024,curry powder,cardamom,black pepper,10-07-2025,4.63
kheema,22-03-2024,basil,basmati rice,coconut,13-02-2025,3.59
gulab jamun,29-03-2024,eggs,coriander powder,red chili powder,19-01-2025,0.01
rabri,14-02-2024,chicken,apricots,mustard seeds,14-02-2025,3.41
chaat,24-08-2024,rosemary,mango,clarified butter,17-11-2025,0.67
puri,19-03-2024,milk,yogurt,red chili powder,12-10-2025,3.49
lassi,07-10-2024,ketchup,coriander powder,black salt,23-09-2025,1.43
thali,28-10-2024,ginger,poppy seeds,semolina,18-08-2025,4.94
kulfi,17-11-2024,cumin,dates,garam masala,07-12-2025,0.89
pulao,20-12-2024,onions,coconut milk,garlic,16-05-2025,3.59
jalebi,25-09-2024,sugar,cashew nuts,coriander,27-07-2025,3.81
palak paneer,25-06-2024,mustard,tamarind,red chili powder,30-04-2025,1.62
bhaji,30-03-2024,mayonnaise,banana,bay leaves,12-10-2025,4.55
dosa,27-10-2024,sugar,almonds,milk,25-12-2025,4.39
thali,23-02-2024,sugar,tomato,cumin,18-02-2025,3.46
roti,10-09-2024,rice,banana,sugar,05-12-2025,1.48
momo,14-11-2024,turmeric,ginger,olive oil,07-05-2025,1.31
kheer,29-04-2024,oregano,apricots,dates,25-02-2025,4.73
rasgulla,29-01-2024,thyme,chickpeas,asafoetida,16-11-2025,0.31
vada,20-02-2024,rosemary,mint leaves,black gram,16-07-2025,3.18
masala dosa,05-04-2024,parsley,fenugreek seeds,black gram,15-06-2025,0.96
dal makhani,29-12-2024,milk,poppy seeds,green gram,05-08-2025,4.49
naan,17-04-2024,oregano,dates,olive oil,24-10-2025,2.72
puri,09-05-2024,potatoes,sesame seeds,rice flour,01-11-2025,2.16
chicken curry,23-06-2024,flour,figs,jaggery,04-04-2025,2.62
poha,15-06-2024,onions,fenugreek seeds,pistachios,27-03-2025,3.56
rabri,15-08-2024,vanilla extract,cumin seeds,green gram,15-01-2025,1.71
chaat,08-08-2024,salt,figs,garlic,01-01-2025,1.66
bhaji,17-12-2024,lettuce,asafoetida,coriander,05-06-2025,1.63
lassi,10-10-2024,chili powder,tamarind,ginger,13-11-2025,2.87
thali,01-03-2024,potatoes,bay leaf,cinnamon,21-06-2025,3.36
pav bhaji,08-02-2024,ginger,cumin seeds,dates,24-11-2025,4.26
vada,27-05-2024,basil,almonds,nutmeg,18-01-2025,3.63
thali,24-09-2024,turmeric,chickpeas,garam masala,26-04-2025,0.73
tandoori chicken,21-09-2024,oregano,cumin seeds,ginger,25-08-2025,2.12
rabri,16-02-2024,chicken,curry leaves,sesame oil,11-04-2025,2.1
rabri,09-01-2024,lemon juice,fennel seeds,poppy seeds,10-03-2025,3.59
pulao,10-10-2024,sugar,tomato,mustard oil,09-07-2025,1.51
gulab jamun,15-07-2024,cayenne pepper,yogurt,beans,16-06-2025,0.39
lassi,12-07-2024,oregano,sesame seeds,sugar,12-10-2025,1.79
tandoori chicken,28-08-2024,honey,garlic,cardamom,17-05-2025,2.26
masala dosa,16-12-2024,cinnamon,curry powder,fennel seeds,11-09-2024,2.62
jalebi,28-09-2024,potatoes,sesame seeds,garam masala,04-03-2025,2.51
korma,06-10-2024,chicken,black pepper,milk,23-08-2025,1.8
pav bhaji,28-10-2024,potatoes,curry leaves,honey,26-05-2025,1.9
bhaji,09-12-2024,oregano,chickpeas,mustard seeds,08-12-2024,4.23
paneer tikka,25-05-2024,rice,ginger,cilantro,18-01-2025,4.12
pulao,22-10-2024,mustard,lentils,amchur,24-11-2024,4.24
paneer tikka,06-04-2024,carrots,chickpeas,dates,26-05-2025,2.09
pulao,17-07-2024,parsley,curry powder,cinnamon,27-03-2025,2.26
masala dosa,07-11-2024,pasta,pomegranate,coconut oil,22-05-2025,0.56
gulab jamun,08-12-2024,pasta,garlic,sesame oil,06-02-2025,4.64
roti,25-05-2024,cheese,coriander powder,cilantro,05-02-2025,1.06

